             Date       Close        High         Low        Open      Volume
10055  2020-10-28  108.550217  112.679423  108.452601  112.308481   143937800
10056  2020-10-29  112.572006  114.143642  109.526351  109.692306   146129200
10057  2020-10-30  106.265953  109.321365  105.153119  108.413526   190272600
10058  2020-11-02  106.178101  108.042590  104.762656  106.510003   122866900
10059  2020-11-03  107.808319  108.833294  106.139068  107.046907   107624400
10060  2020-11-04  112.210831  112.835579  109.672788  111.420135   138235500
10061  2020-11-05  116.193619  116.769563  114.085094  115.139352   126387100
10062  2020-11-06  116.061615  116.560316  113.558301  115.699806   114457900
10063  2020-11-09  113.744087  119.288523  113.480070  117.831521   154515300
10064  2020-11-10  113.401848  114.985968  111.602591  112.991151   138023400
10065  2020-11-11  116.843903  116.980802  113.861449  114.594840   112295000
10066  2020-11-12  116.570091  117.860860  115.944265  116.971015   103162300
10067  2020-11-13  116.618996  117.019912  115.259778  116.795010    81581900
10068  2020-11-16  117.635971  118.310686  115.533581  116.286526    91183000
10069  2020-11-17  116.746101  117.997755  116.325623  116.902562    74271000
10070  2020-11-18  115.416214  117.166575  115.386880  115.983372    76322100
10071  2020-11-19  116.012726  116.423423  114.223249  114.985975    74113000
10072  2020-11-20  114.741501  116.139834  114.692613  116.012715    73604300
10073  2020-11-23  111.328781  115.015298  111.230997  114.585040   127959300
10074  2020-11-24  112.619553  113.284494  110.096685  111.387461   113874200
10075  2020-11-25  113.460526  114.164582  112.619570  112.991159    76499200
10076  2020-11-27  114.008118  114.888189  113.646316  113.988564    46691300
10077  2020-11-30  116.413628  118.291107  114.223227  114.379688   169410200
10078  2020-12-01  120.002365  120.735756  117.352379  118.330234   127728200
10079  2020-12-02  120.354401  120.637979  118.212896  119.317869    89004200
10080  2020-12-03  120.217491  121.038886  119.503654  120.784641    78967600
10081  2020-12-04  119.542786  120.139278  118.828948  119.885033    78260400
10082  2020-12-07  121.009544  121.811385  119.542762  119.601431    86712000
10083  2020-12-08  121.625618  122.212337  120.364184  121.615845    82225500
10084  2020-12-09  119.083183  123.160837  118.320458  121.772285   115089200
10085  2020-12-10  120.510841  121.126895  117.489273  117.831521    81312200
10086  2020-12-11  119.699234  120.041482  117.880423  119.718788    86939800
10087  2020-12-14  119.083183  120.618415  118.848500  119.885024    79184500
10088  2020-12-15  125.048096  125.067657  121.381139  121.586488   157243700
10089  2020-12-16  124.979630  125.527226  123.757311  124.588494    98208600
10090  2020-12-17  125.849930  126.710447  125.204542  126.045498    94359800
10091  2020-12-18  123.855103  126.241071  123.327060  126.104172   192541500
10092  2020-12-21  125.390343  125.468573  120.716197  122.251429   121251600
10093  2020-12-22  128.959518  131.433490  126.778891  128.695493   168904800
10094  2020-12-23  128.059906  129.497339  127.883884  129.233329    88223700
10095  2020-12-24  129.047501  130.504510  128.196772  128.411901    54930100
10096  2020-12-28  133.662979  134.298579  130.553393  131.022774   124486200
10097  2020-12-29  131.883286  135.716475  131.365024  134.992872   121047300
10098  2020-12-30  130.758804  132.978540  130.445883  132.577616    96452100
10099  2020-12-31  129.751587  131.756193  128.803066  131.110805    99116600
10100  2021-01-04  126.544228  130.651216  123.952910  130.563213   143301900
10101  2021-01-05  128.108765  128.822609  125.585897  126.035717    97664900
10102  2021-01-06  123.796448  128.147907  123.581318  124.891648   155088000
10103  2021-01-07  128.020782  128.715066  125.028548  125.517476   109578200
10104  2021-01-08  129.125748  129.692905  127.346045  129.497322   105158200
10105  2021-01-11  126.123749  127.287399  125.654383  126.329105   100384500
10106  2021-01-12  125.947723  126.818014  124.050682  125.654364    91951100
10107  2021-01-13  127.991432  128.539029  125.644586  125.908596    88636800
10108  2021-01-14  126.055290  128.099004  125.908603  127.903436    90221800
10109  2021-01-15  124.324478  127.336273  124.187579  125.928160   111598500
10110  2021-01-19  124.999222  125.859739  124.128931  124.950326    90757300
10111  2021-01-20  129.106216  129.556036  125.703285  125.810849   104319500
10112  2021-01-21  133.838989  136.576986  130.631627  130.836983   120150900
10113  2021-01-22  135.990311  136.753036  132.029995  133.262087   114459400
10114  2021-01-25  139.755035  141.876979  133.516316  139.901723   157611700
10115  2021-01-26  139.989716  141.104470  138.239347  140.419974    98390600
10116  2021-01-27  138.914062  141.104463  137.300608  140.253719   140843800
10117  2021-01-28  134.054123  138.845621  133.672760  136.430318   142621100
10118  2021-01-29  129.037750  133.711896  127.326504  132.822044   177523800
10119  2021-02-01  131.169464  132.382010  128.030543  130.788101   106239800
10120  2021-02-02  132.000656  133.291417  131.629066  132.724259    83305400
10121  2021-02-03  130.973877  132.763353  130.651183  132.753565    89880900
10122  2021-02-04  134.347519  134.357292  131.609522  133.281660    84183100
10123  2021-02-05  133.931290  134.577642  133.049911  134.509098    75693800
10124  2021-02-08  134.078171  134.127140  132.129326  133.216368    71297200
